City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ikom,97,NG,1627620530,94,5.9667,8.7063,72.32,2.06
Conde,20,BR,1627620393,94,-7.2597,-34.9075,72.86,4.61
Khovd,97,MN,1627620532,31,48.0056,91.6419,73.45,6.78
Tiksi,6,RU,1627620532,37,71.6872,128.8694,62.98,2.86
Mpika,1,ZM,1627620534,69,-11.8343,31.4529,51.42,7.9
Dolinsk,39,RU,1627620536,74,47.35,142.8,78.66,8.86
Gamba,92,GA,1627620536,82,-2.65,10.0,73.2,5.91
Terråk,55,NO,1627620538,87,65.087,12.3715,55.27,4.05
Langsa,100,ID,1627620529,58,4.4683,97.9683,88.7,0.65
Greeley,90,US,1627620539,37,40.4233,-104.7091,85.55,8.05
Manuk Mangkaw,55,PH,1627620540,74,4.8,119.85,84.83,13.15
Chapais,100,CA,1627620540,96,49.7834,-74.8492,47.98,9.82
Rio Grande,12,BR,1627620541,78,-32.035,-52.0986,34.95,8.21
Manta,40,EC,1627620543,83,-0.95,-80.7333,73.18,5.75
Estelle,40,US,1627620544,78,29.8458,-90.1067,84.2,3.44
Nouadhibou,75,MR,1627620545,94,20.931,-17.0347,67.98,14.97
Charlestown,0,AU,1627620547,33,-32.95,151.6667,69.12,1.99
Gawler,98,AU,1627620547,50,-34.6,138.7333,68.83,16.11
Amazar,1,RU,1627620549,35,53.858,120.875,74.53,9.04
Pangnirtung,17,CA,1627620550,78,66.1451,-65.7125,49.66,3.47
Aldan,21,RU,1627620552,56,58.6031,125.3894,62.98,12.64
Songyuan,100,CN,1627620553,90,45.1171,124.8568,72.39,1.68
Gallup,75,US,1627620553,67,35.5281,-108.7426,66.04,1.99
Kavaratti,99,IN,1627620554,76,10.5669,72.642,82.38,15.14
Tual,91,ID,1627620554,83,-5.6667,132.75,80.01,19.33
Chara,53,RU,1627620555,40,56.9064,118.2631,68.38,10.09
Newport,88,GB,1627619969,89,51.5877,-2.9984,59.61,20.74
Yar-Sale,93,RU,1627620557,86,66.8333,70.8333,51.4,19.75
Winnemucca,1,US,1627620558,16,40.973,-117.7357,86.05,4.61
Sabha,0,LY,1627620559,35,27.0377,14.4283,77.02,9.73
Alyangula,0,AU,1627620560,74,-13.8483,136.4192,82.27,9.22
Aklavik,98,CA,1627620561,63,68.2191,-135.0107,65.23,2.01
Itoman,20,JP,1627620562,79,26.1247,127.6694,88.18,10.36
Kolosovka,100,RU,1627620563,56,56.4678,73.611,63.72,12.46
Margate,100,GB,1627620564,85,51.3813,1.3862,62.31,4.0
Santa Maria,0,BR,1627620565,76,-29.6842,-53.8069,37.87,2.46
Floriano,14,BR,1627620567,47,-6.7669,-43.0225,75.58,3.94
Almansa,0,ES,1627620569,50,38.8692,-1.0971,69.89,7.54
Russkiy,99,RU,1627620570,86,43.0147,131.8642,84.06,6.2
Palmer,90,US,1627620487,85,42.1584,-72.3287,71.15,6.91
Hargeisa,97,SO,1627620571,65,9.56,44.065,68.07,34.63
Touros,27,BR,1627620572,86,-5.1989,-35.4608,74.3,10.71
Anadyr,75,RU,1627620574,86,64.75,177.4833,41.5,15.01
Bogandé,98,BF,1627620575,75,12.9714,-0.1436,77.32,7.52
Sept-Îles,90,CA,1627620577,94,50.2001,-66.3821,59.52,4.61
Kaniama,0,CD,1627620578,48,-7.5667,24.1833,65.21,5.77
Dhanwār,100,IN,1627620579,94,24.4167,85.9833,75.88,18.19
Poli,90,TZ,1627620580,94,-3.3333,36.8,54.37,13.8
Batemans Bay,0,AU,1627620582,28,-35.7167,150.1833,64.2,6.58
Praia,40,CV,1627620582,78,14.9215,-23.5087,75.74,6.91
Kloulklubed,79,PW,1627620584,69,7.0419,134.2556,86.5,4.21
Vila do Maio,97,CV,1627620584,80,15.1333,-23.2167,75.99,9.19
Itamaracá,100,BR,1627620587,86,-7.7478,-34.8256,74.08,5.7
Nesebar,3,BG,1627620590,42,42.7833,27.7333,74.35,3.62
Savannah Bight,77,HN,1627620592,79,16.45,-85.85,82.0,15.14
Krasnoarmeysk,4,RU,1627620593,56,51.0239,45.6969,77.16,9.15
Goderich,1,CA,1627620595,83,43.7501,-81.7165,68.92,11.5
Nyuksenitsa,34,RU,1627620596,86,60.4128,44.2397,63.46,8.08
Bubaque,100,GW,1627620598,86,11.2833,-15.8333,78.19,13.09
Mwingi,98,KE,1627620599,76,-0.9344,38.0601,63.43,7.94
Hamilton,24,US,1627620601,90,39.1834,-84.5333,79.43,1.01
Tongren,2,CN,1627620602,50,27.7172,109.1853,94.98,1.88
Rawson,34,AR,1627620602,38,-43.3002,-65.1023,53.24,13.02
Qixingtai,0,CN,1627620604,60,30.4135,111.8874,92.52,6.51
Malinovskiy,66,RU,1627620604,43,61.1953,62.8397,59.52,4.61
Leshukonskoye,87,RU,1627620606,59,64.8989,45.7622,57.34,6.31
Roald,75,NO,1627620607,82,62.5833,6.1333,60.91,11.5
Shirokiy,24,RU,1627620608,64,49.758,129.523,82.6,8.46
Vanino,100,RU,1627620448,96,49.0869,140.2543,69.96,3.4
Algiers,40,DZ,1627620609,100,36.7525,3.042,73.22,5.75
Gazli,1,UZ,1627620610,16,40.1333,63.45,88.38,27.02
Jiaocheng,99,CN,1627620611,53,24.6774,116.1389,93.67,3.89
Puerto Madero,100,MX,1627620612,73,14.7208,-92.4215,78.96,7.83
Kars,1,TR,1627620613,63,40.602,43.095,59.85,3.87
Aykhal,55,RU,1627620614,32,66.0,111.5,77.34,7.11
Skibbereen,100,IE,1627620615,89,51.55,-9.2667,57.0,11.01
Mapiripán,54,CO,1627620617,94,2.8892,-72.1256,71.46,3.27
Løten,100,NO,1627620618,90,60.8171,11.3376,56.14,3.69
Uyong,100,PH,1627620620,82,16.05,120.1207,82.92,9.22
Tantoyuca,100,MX,1627620620,91,21.35,-98.2333,73.33,3.29
Kupino,2,RU,1627620622,41,54.3663,77.2981,67.89,10.25
Lavrentiya,85,RU,1627620623,88,65.5833,-171.0,46.24,7.99
Kamenka,56,RU,1627620588,68,51.3223,42.7678,74.8,9.08
Kiunga,83,PG,1627620625,83,-6.1219,141.2906,82.38,2.55
Yerbogachën,4,RU,1627620532,28,61.2767,108.0108,79.18,10.87
Chippewa Falls,1,US,1627620625,88,44.9369,-91.3929,67.96,3.44
Harper,89,LR,1627620496,87,4.375,-7.7169,74.88,4.61
Aranos,0,NA,1627620626,45,-24.1333,19.1167,43.2,10.33
Jánossomorja,0,HU,1627620628,60,47.7862,17.136,68.07,0.69
Mayo,20,US,1627620630,92,38.8876,-76.5119,78.91,1.01
Williams Lake,20,CA,1627620630,25,52.1415,-122.1445,78.37,8.05
Le Moule,55,GP,1627620631,80,16.3332,-61.3473,78.84,16.6
Ténenkou,80,ML,1627620632,70,14.4572,-4.9169,81.25,7.11
Hasaki,16,JP,1627620634,73,35.7333,140.8333,86.4,7.02
Nushki,13,PK,1627620593,8,29.5542,66.0215,97.47,7.23
Huaiyuan,0,CN,1627620634,67,32.973,117.1995,86.97,7.7
Barguzin,28,RU,1627620635,61,53.6167,109.6167,72.55,6.64
Jalu,0,LY,1627620636,45,29.0331,21.5482,79.7,7.23
Airai,4,TL,1627620637,34,-8.9266,125.4092,77.65,3.83
Caucaia,40,BR,1627620638,77,-3.7361,-38.6531,80.55,6.91
Nhulunbuy,40,AU,1627620639,62,-12.2333,136.7667,86.61,13.8
Meulaboh,100,ID,1627620640,67,4.1363,96.1285,84.42,3.51
Eydhafushi,65,MV,1627620640,71,5.1033,73.0708,82.6,8.77
Tutóia,100,BR,1627620640,90,-2.7619,-42.2744,77.97,8.77
Pimentel,78,PE,1627620593,86,-6.8367,-79.9342,64.0,3.0
Nemuro,78,JP,1627620642,94,43.3236,145.575,82.83,10.85
Beruwala,26,LK,1627620642,78,6.4788,79.9828,82.6,12.55
Taoudenni,36,ML,1627620642,34,22.6783,-3.9836,93.69,9.17
Karratha,1,AU,1627620644,49,-20.7377,116.8463,78.17,18.79
Kikwit,7,CD,1627620645,33,-5.041,18.8162,69.35,2.04
Mareeba,3,AU,1627620413,37,-17.0,145.4333,86.32,9.15
Benghazi,0,LY,1627620647,70,32.1167,20.0667,81.5,10.8
Synya,37,RU,1627620648,64,65.3718,58.0387,54.61,4.83
Prigor,0,RO,1627620650,56,44.9383,22.1133,66.83,2.98
Kungurtug,28,RU,1627620651,30,50.5994,97.5228,68.13,2.15
Bathsheba,40,BB,1627620651,74,13.2167,-59.5167,81.21,14.97
Northam,80,GB,1627620652,96,51.0333,-4.2167,60.03,24.92
Siderno,0,IT,1627620653,36,38.2779,16.302,85.01,8.46
Sobolevo,71,RU,1627620655,93,54.4299,31.8996,65.25,5.82
Itacoatiara,73,BR,1627620656,64,-3.1431,-58.4442,73.76,1.54
Leuven,40,BE,1627620658,86,50.8796,4.7009,58.96,6.91
Faya,55,SA,1627620659,46,18.3851,42.4509,69.91,4.59
Lianhe,98,CN,1627620531,37,47.1333,129.2667,91.9,1.41
Hualmay,59,PE,1627620661,86,-11.0964,-77.6139,62.96,7.83
Presidente Médici,2,BR,1627620662,38,-11.1753,-61.9014,60.67,5.01
Saint-Cyr-sur-Loire,0,FR,1627620664,88,47.4,0.6667,57.45,4.61
Katangli,100,RU,1627620665,93,51.7102,143.2326,66.49,4.21
Sayyan,50,YE,1627620665,52,15.1718,44.3244,67.5,3.53
São João da Barra,0,BR,1627620667,66,-21.6403,-41.0511,57.85,16.37
Pochutla,91,MX,1627620668,94,15.7432,-96.4661,74.82,5.12
Burlatskoye,0,RU,1627620669,30,45.0564,43.635,78.15,8.25
Broken Hill,75,AU,1627620670,28,-31.95,141.4333,67.71,17.27
Codrington,46,AU,1627620671,64,-38.2667,141.9667,55.8,23.15
Cayenne,90,GF,1627620672,90,4.9333,-52.3333,76.08,0.0
Ca Mau,100,VN,1627620660,93,9.1769,105.15,77.2,11.83
Arrondissement d'Arcachon,90,FR,1627620673,82,44.5875,-1.0519,65.41,2.3
Kyren,100,RU,1627620675,89,51.6828,102.1408,59.05,1.01
Solec Kujawski,0,PL,1627620675,72,53.0837,18.2257,61.66,6.91
Ntoum,93,GA,1627620676,82,0.3833,9.7833,76.77,5.57
Menongue,0,AO,1627620678,51,-14.6585,17.691,44.35,4.99
Tezu,100,IN,1627620680,99,27.9167,96.1667,77.58,0.54
Saint-Pierre,90,RE,1627620483,78,-21.3393,55.4781,69.48,23.02
Crestview,20,US,1627620680,74,30.7621,-86.5705,82.76,1.01
Lucapa,1,AO,1627620681,35,-8.4192,20.7447,59.95,4.88
Kostanay,0,KZ,1627620683,38,53.1667,63.5833,73.69,13.42
Mil'kovo,97,RU,1627620684,96,54.7167,158.6167,64.8,2.24
Drayton Valley,56,CA,1627620686,92,53.2168,-114.9854,57.56,4.21
Antalaha,96,MG,1627620426,90,-14.9003,50.2788,70.18,9.06
Esso,100,RU,1627620687,93,55.9333,158.7,56.98,6.76
Chetwayi,100,IN,1627620688,72,10.5333,76.05,82.47,10.13
Nantucket,75,US,1627620689,88,41.2835,-70.0995,69.91,20.71
Labytnangi,100,RU,1627620681,90,66.6572,66.4183,50.7,16.71
Tocopilla,44,CL,1627620690,66,-22.092,-70.1979,61.86,4.12
Lompoc,90,US,1627620692,88,34.6391,-120.4579,64.08,6.91
Mae Ramat,83,TH,1627620665,72,16.984,98.5166,75.52,6.6
Bataiporã,57,BR,1627620693,62,-22.2953,-53.2711,38.3,3.85
Bosaso,40,SO,1627620493,43,11.2842,49.1816,89.58,32.21
Murray Bridge,82,AU,1627620695,48,-35.1167,139.2667,68.43,18.61
Murgab,0,TM,1627620695,41,37.4966,61.9714,80.47,11.5
Novy Urengoy,9,RU,1627620557,48,66.0833,76.6333,58.59,15.43
Ascension,1,US,1627620697,89,30.2169,-90.9001,80.08,0.0
Bulgan,23,MN,1627620698,58,48.8125,103.5347,67.39,9.78
Aquiraz,58,BR,1627620665,86,-3.9014,-38.3911,80.69,11.92
Bloemfontein,0,ZA,1627620542,68,-29.1211,26.214,22.48,2.3
Ligayan,82,PH,1627620699,76,4.6533,119.4706,84.45,13.56
Zyryanka,95,RU,1627620699,54,65.75,150.85,51.64,8.41
Vostok,100,RU,1627620702,77,46.4856,135.8833,73.2,3.18
Boldu,0,RO,1627620702,63,45.3333,27.2333,75.76,12.57
Annau,75,TM,1627620703,54,37.8876,58.516,80.1,11.5
Verkhnebakanskiy,0,RU,1627620704,48,44.8492,37.6572,74.25,2.51
Harwich,100,GB,1627620706,88,51.9419,1.2844,61.0,5.99
Boromo,100,BF,1627620707,93,11.75,-2.9333,72.57,5.59
Pareora,86,NZ,1627620709,97,-44.4871,171.2132,47.17,4.45
Cairns,3,AU,1627620594,68,-16.9167,145.7667,91.94,8.05
